Country,Cupcake%,Doughnut%,
Indonesia,13,87
United States,36,64,   
Malaysia,43,57,
Philippines,56,44,   
Australia,51,49,
Saudi Arabia,09,91,
Hungary,13,87,
Thailand,11,89,
New Zealand,54,46,
Singapore,59,41,
Canada,47,53,
Brazil,74,26,
Japan,01,99
